Actor In A Leading Role - Musical Or Comedy Series Or Television Movie,2002-01-28,Hilary,Duff,1998-11-16
Actress In A Supporting Role - Television Series,2014-10-20,Robert,Redford,1953-08-23
Actor In A Leading Role,2000-02-08,Harrison,Ford,1993-10-01
Actor In A Supporting Role - Series Or Television Movie,2008-04-15,Sharlto,Copley,1963-10-28
Actress In A Supporting Role - Television Series,2010-02-14,Sylvester,Stallone,1986-01-21
Actor In A Supporting Role - Series Or Television Movie,2020-11-18,Jude,Law,1952-01-07
Actress In A Leading Role - Drama Series Or Television Movie,2004-09-17,Paul,Hogan,1990-08-18
Actor In A Television Series - Drama,2009-10-21,Channing,Tatum,1960-03-08
Actress In A Leading Role,2002-09-26,Danny,Aiello,1957-01-11
Actor In A Leading Role,2006-10-20,Joaquín,Furriel,1971-09-24
Actor In A Supporting Role - Series Or Television Movie,2020-10-27,Bruce,Willis,1969-03-08
Actress In A Leading Role - Musical Or Comedy,2009-02-17,Hilary,Swank,1987-01-04
Actress In A Supporting Role - Television Series,2020-08-14,Ryan,Reynolds,1984-09-26
Actor In A Leading Role - Musical Or Comedy Series Or Television Movie,2002-04-09,Christopher,Reid,2001-05-29
Actor In A Television Series - Drama,2004-04-13,Master,P,1972-09-03
Actor In A Supporting Role - Television Series,2019-06-06,Omar,Epps,1961-09-21
Actress In A Leading Role - Musical Or Comedy,2013-09-28,Jay,Chou,1969-11-20
Actor In A Supporting Role - Television Series,2007-02-18,Jai,Brooks,1953-12-03
Actor In A Television Series - Musical Or Comedy,2000-07-23,David,Bowie,1998-12-20
Actress In A Supporting Role - Television Series,2004-05-19,Amanda,Seyfried,1982-04-15
Actor In A Leading Role,2021-07-20,Katie,Douglas,2002-10-25
Actress In A Leading Role,2011-05-15,Nick,Cannon,1984-06-20
Actor In A Leading Role - Musical Or Comedy Series Or Television Movie,2000-11-19,Miriam,Chin,1981-10-21
Actor In A Supporting Role - Television Series,2017-08-08,Jack,Nicholson,1973-11-22
Actress In A Leading Role - Musical Or Comedy,2011-06-14,Chadwick,Boseman,1965-01-21
Actor In A Leading Role,2008-09-12,Ashton,Kutcher,1989-03-02
Actor In A Supporting Role - Series Or Television Movie,2007-02-23,Ben,Stiller,1959-05-10
Actor In A Supporting Role - Television Series,2017-03-06,Robert,De,1951-09-18
Actress In A Leading Role,2013-12-09,Joel,McHale,1968-03-26
Actress In A Leading Role - Musical Or Comedy,2001-05-19,Chris,Rock,1955-03-12
Actor In A Leading Role - Drama Series Or Television Movie,2015-03-10,Josh,Lucas,1975-07-30
Actor In A Supporting Role - Series Or Television Movie,2015-07-10,Too,$hort,1961-07-21
Actor In A Leading Role,2006-09-22,Greg,Kinnear,1974-01-10
Actress In A Supporting Role - Television Series,2010-01-25,Jack,Black,1987-08-18
Actress In A Leading Role - Drama Series Or Television Movie,2015-03-26,Tyler,Oakley,1960-12-02
Actor In A Television Series - Drama,2015-12-10,Brooke,Shields,1980-12-07
Actress In A Supporting Role - Television Series,2002-02-13,Eddie,Murphy,1973-06-23
Actor In A Television Series - Musical Or Comedy,2011-07-01,Gregory,Peck,1950-11-26
Actor In A Television Series - Musical Or Comedy,2020-07-03,James,Franco,1968-08-21
Actress In A Leading Role,2012-01-25,Martin,Lawrence,1993-12-30
Actress In A Supporting Role - Television Series,2011-10-01,Clint,Eastwood,1950-02-18
Actor In A Leading Role,2019-09-09,Ramzy,Bedia,1988-03-13
Actor In A Television Series - Musical Or Comedy,2010-08-17,Satya,Dev,1986-02-16
Actress In A Leading Role - Drama Series Or Television Movie,2018-04-06,Jeremy,Renner,2002-02-18
Actor In A Leading Role - Drama Series Or Television Movie,2018-05-20,Mithun,Chakraborty,1995-09-12
Actress In A Leading Role - Drama Series Or Television Movie,2010-11-07,Sanjay,Dutt,1995-09-01
Actress In A Leading Role,2020-10-30,Aftab,Shivdasani,1996-05-06
Actor In A Television Series - Musical Or Comedy,2001-04-09,Sohail,Khan,1968-04-01
Actor In A Television Series - Drama,2003-05-03,Tusshar,Kapoor,1950-02-24
Actor In A Leading Role,2002-03-12,Nushrat,Bharucha,1966-08-05
Actress In A Leading Role,2018-02-12,Vivek,Oberoi,1998-06-19
Actor In A Supporting Role - Television Series,2015-10-23,Ajay,Devgn,1957-04-24
Actor In A Leading Role,2012-08-03,Akshay,Kumar,1971-12-04
Actress In A Leading Role - Drama Series Or Television Movie,2015-09-14,Kainaz,Motivala,1958-07-07
Actor In A Supporting Role - Television Series,2016-10-15,Sunny,Leone,1984-12-29
Actress In A Leading Role,2019-08-06,Amitabh,Bachchan,1964-03-21
Actor In A Supporting Role - Series Or Television Movie,2002-05-26,Sendhil,Ramamurthy,1953-04-25
Actress In A Leading Role,2017-09-08,Vidya,Balan,1981-10-17
Actor In A Supporting Role - Series Or Television Movie,2003-01-24,Kofi,Siriboe,1961-06-29
Actor In A Supporting Role - Series Or Television Movie,2010-08-08,Pierce,Brosnan,2000-10-25
Actress In A Supporting Role - Television Series,2012-07-10,Brigitte,Kali,1991-08-01
Actor In A Supporting Role - Series Or Television Movie,2021-11-30,David,Oyelowo,1991-07-10
Actor In A Television Series - Drama,2005-12-05,Jason,Momoa,1980-04-15
Actor In A Television Series - Musical Or Comedy,2007-01-06,Anton,Yelchin,1984-12-20
Actress In A Leading Role - Drama Series Or Television Movie,2015-11-17,Arvind,Swamy,1956-11-10
Actor In A Leading Role - Drama Series Or Television Movie,2007-07-10,Anmol,Limbu,1955-06-11
Actor In A Leading Role,2020-05-03,Elizabeth,Banks,1989-07-13
Actress In A Leading Role - Drama Series Or Television Movie,2001-06-13,Holly,Hunter,1951-11-06
Actor In A Leading Role,2016-12-07,John,David,1970-10-01
Actor In A Television Series - Drama,2016-09-13,Finnegan,Oldfield,1992-07-04
Actress In A Leading Role,2012-07-30,Diana,Gómez,1953-03-27
Actress In A Supporting Role - Television Series,2018-07-22,Lokillo,Florez,1973-12-30
Actress In A Supporting Role - Television Series,2000-11-22,Ben,Rausch,1973-09-26
Actress In A Leading Role,2000-02-03,Mike,Ezuruonye,1994-01-14
Actress In A Leading Role - Musical Or Comedy,2008-04-01,Ximena,Romo,1974-11-12
Actress In A Leading Role - Drama Series Or Television Movie,2012-03-18,Joey,King,1985-07-02
Actor In A Supporting Role - Television Series,2013-07-28,Colin,Firth,1965-12-19
Actor In A Supporting Role - Television Series,2000-07-24,Maggie,Smith,1970-05-19
Actor In A Television Series - Drama,2009-08-18,Enhle,Mbali,1967-07-18
Actor In A Leading Role,2001-12-24,Alain,Uy,1972-01-24
Actor In A Leading Role,2000-02-28,Suliane,Brahim,1998-12-11
Actress In A Leading Role - Musical Or Comedy,2001-08-24,Lin-Manuel,Miranda,1984-10-22
Actor In A Supporting Role - Series Or Television Movie,2008-04-07,Shah,Rukh,2000-09-13
Actress In A Leading Role - Musical Or Comedy,2021-05-01,Luis,Brandoni,1992-06-10
Actor In A Television Series - Drama,2009-02-19,Jackie,Collins,1970-08-13
Actor In A Leading Role,2005-10-25,Fernán,Mirás,2002-10-23
Actress In A Leading Role - Musical Or Comedy,2006-11-25,Ramsey,Nouah,1984-01-24
Actor In A Leading Role - Drama Series Or Television Movie,2013-06-11,Ashley,Greene,2001-03-16
Actor In A Leading Role - Musical Or Comedy Series Or Television Movie,2003-12-16,David,Geffen,1990-08-17
Actor In A Leading Role,2014-01-15,Pruitt,Taylor,2000-10-08
Actor In A Leading Role - Drama Series Or Television Movie,2015-01-04,Genevieve,Nnaji,1967-01-26
Actor In A Leading Role - Musical Or Comedy Series Or Television Movie,2020-12-28,Roy,Chiu,1984-09-27
Actress In A Leading Role,2010-07-01,Charles,Grodin,1968-04-28
Actor In A Leading Role - Drama Series Or Television Movie,2017-04-13,Ray,Winstone,2002-10-08
Actor In A Leading Role - Musical Or Comedy Series Or Television Movie,2017-07-03,Scott,Adkins,1992-05-26
Actor In A Supporting Role - Television Series,2009-09-01,Leonardo,DiCaprio,1954-03-24
Actress In A Leading Role,2002-09-25,Bill,Hader,1965-06-01
Actress In A Supporting Role - Television Series,2020-03-09,Thomas,Jane,1974-11-02
Actress In A Supporting Role - Television Series,2017-01-05,Matthew,Broderick,1996-04-01
Actor In A Television Series - Musical Or Comedy,2001-09-03,Haley,Lu,1974-10-15
Actress In A Supporting Role - Television Series,2003-02-19,Samuel,L.,1992-06-07
,,Dane,Cook,1997-09-04
,,John,C.,2003-08-09
,,Damon,Wayans,1995-07-04
,,Dan,Aykroyd,1961-05-10
,,Anna,Chlumsky,1983-01-29
,,William,Townsend,1953-01-22
,,Seth,Rogen,1951-07-22
,,Justin,Long,1993-12-12
,,Diane,Keaton,1974-02-05
,,Tobey,Maguire,1962-12-05
,,Trey,Parker,1993-01-28
,,Hailee,Steinfeld,1989-10-22
,,Abigail,Spencer,1981-12-24
,,Matthew,McConaughey,1977-10-04
,,Jeffrey,Dean,1979-12-12
,,Christian,Bale,1951-10-17
,,Sandra,Bullock,1977-10-23
,,Steve,Harvey,1973-01-29
,,Jessica,Alba,1950-11-26
,,Khaled,Abol,1983-03-13
,,Damilola,Adegbite,1973-02-25
,,Józef,Paw?owski,1980-03-17
,,Grant,Gustin,1972-09-28
,,Diane,Kruger,1972-05-02
,,Jamie,Foxx,1999-01-21
,,Emily,Morris,1971-07-30
,,Shailene,Woodley,1955-03-23
,,Vatsal,Dubey,1959-11-21
,,Rachel,House,1992-04-12
,,Blossom,Chukwujekwu,1973-11-07
,,Molly,Bernard,1962-11-09
,,Faisal,Al,1971-01-16
,,Frank,Grillo,1955-09-18
,,Panisara,Rikulsurakan,1963-08-13
,,Colin,Farrell,1954-05-28
,,Naomi,Watts,2001-02-04
,,Kristen,Stewart,1968-01-17
,,Nadya,Arina,1960-03-26
,,Shia,LaBeouf,1960-03-27
,,Matilda,Lutz,1977-06-13
,,Hong,Chau,1955-03-23
,,Jesse,Eisenberg,1971-04-14
,,Paul,Giamatti,1977-07-22
,,Jassim,Al,1977-07-18
,,Reese,Witherspoon,1993-08-29
,,Bella,Thorne,1995-06-17
,,Bill,Murray,1964-01-03
,,Paul,Walker,1994-05-24
,,Andrzej,Seweryn,1961-07-21
,,Saskia,Hampele,1971-01-19
,,Peter,Yu,1978-10-30
,,Sanjay,Mishra,1996-01-24
,,Guggu,Gill,1968-04-07
,,Majida,El,1967-01-08
,,Remy,Ishak,1970-12-05
,,Maudy,Koesnaedi,1970-05-03
,,Makrand,Deshpande,1966-08-01
,,Mala,Sinha,1980-07-09
,,Taapsee,Pannu,1953-07-04
,,Stan,Nze,1972-11-25
,,Chris,Evans,1994-04-22
,,Lee,Sung-min,1970-01-12
,,Helen,Mirren,1954-10-25
,,Jean-Claude,Van,1975-11-26
,,Mike,Myers,1985-04-20
,,Mark,Wahlberg,1971-11-08
,,Cameron,Diaz,1957-11-04
,,Dylan,Walsh,2003-05-20
,,Walter,Matthau,1963-06-12
,,Tran,Nghia,1996-09-01
,,Katherine,Heigl,1992-03-17
,,Rooney,Mara,2002-04-15
,,Zhang,Ziyi,2001-08-02
,,Christophe,Lambert,1952-06-09
,,Jennifer,Aniston,1992-02-10
,,Natalie,Portman,1952-05-18
,,Chyler,Leigh,1996-06-29
,,Daisy,Ridley,1955-08-19
,,Judi,Dench,1982-06-20
,,Will,Smith,1982-11-11
,,Jay,Baruchel,2002-03-30
,,Chris,Elliott,2002-07-22
,,Chris,Pine,1962-02-25
,,Michael,J.,1966-12-02
,,Marc,Maron,1970-02-23
,,Will,Ferrell,1959-08-20
,,George,Clooney,1976-10-29
,,Taraji,P.,1964-11-21
,,Michael,Douglas,1964-08-13
,,Ralph,Macchio,1970-05-29
,,Kevin,Spacey,1968-07-28
,,David,Carradine,1984-06-11
,,Liv,Tyler,1994-04-20
,,Ben,Affleck,1963-05-30
,,Angelina,Jolie,2003-07-08
,,Kate,Beckinsale,1993-01-19
,,Michael,Sheen,1984-06-27
,,Uzee,Usman,1959-12-09
,,Robin,Williams,1955-08-30
,,Halle,Berry,2000-11-29
,,Theo,James,1956-12-20
,,Brad,Pitt,1987-11-14
,,Olivier,Rousteing,1999-04-26
,,Hassan,Mrad,1976-02-28
,,Liam,Neeson,1954-12-05
,,Guy,Pearce,1984-04-04
,,César,Troncoso,1959-02-16
,,Nkem,Owoh,1959-01-23
,,Flavia,Hojda,1959-09-24
,,Maia,Morgenstern,1967-07-13
,,Raluca,Aprodu,1978-01-25
,,K.J.,Apa,1966-04-16
,,Debbie,Allen,1960-08-22
,,Kevin,Hart,1964-07-26
,,Nancy,Isime,1999-05-02
,,Caress,Bashar,1988-08-08
,,Charlie,Dizon,1975-02-13
,,Asivak,Koostachin,1962-11-15
,,Bradley,Cooper,1999-01-19
,,Max,Jabs,1982-11-15
,,Demián,Bichir,1979-09-29
,,Marco,DAmore,1956-09-14
,,Jane,Fonda,1960-11-19
,,Will,Yun,1953-03-30
,,Troy,Garity,1951-03-28
,,Jeff,Foxworthy,1953-05-31
,,James,Hetfield,1995-03-04
,,Alicia,Sanz,1996-11-09
,,Rachel,Saanchita,1982-07-20
,,Shay,Mitchell,1968-08-10
,,Jimmy,Wong,1982-05-07
,,Marlon,Wayans,1982-01-07
,,Alaa,Hammoud,1965-09-17
,,Le,Khanh,1957-04-14
,,Gethin,Anthony,2002-02-25
,,Ahmad,Khamis,1991-05-22
,,Gina,Rodriguez,1988-10-04
,,Indira,Andrewin,2003-01-17
,,Zoey,Deutch,1989-06-01
,,Rosamund,Pike,1966-01-15
,,Chika,Ike,1963-12-27
,,David,Attenborough,1959-06-18
,,Mae,Martin,1961-01-27
,,Jang,Ki-yong,1958-05-06
,,Jailoshini,Naidoo,1957-05-19
,,Teo,García,1981-08-07
,,Alan,Saldaña,1980-12-30
,,Molly,Nutley,2002-06-26
,,Myriam,Fares,1969-05-15
,,Janine,Gutierrez,1978-10-20
,,Jacob,Elordi,1993-05-23
,,Barbara,Niven,2000-09-27
,,Ashleigh,Sumner,1984-02-29
,,John,Travolta,1957-01-26
,,Craig,Sheffer,1976-01-08
,,Giovana,Cordeiro,1990-09-09
,,Olympia,Dukakis,1972-08-30
,,Tom,Sizemore,1953-09-11
,,Jet,Li,1998-09-27
,,Bill,Ferguson,1950-10-04
,,Stephen,Dorff,1961-09-14
,,Madeline,Carroll,2003-10-01
,,Matthew,Perry,1957-01-04
,,Gabriel,Afolayan,1952-05-10
,,Kip,Pardue,1977-10-02
,,Sean,Penn,1983-04-17
,,Larenz,Tate,1981-09-16
,,Fenessa,Pineda,1978-05-02
,,Michael,Jai,1958-08-06
,,Maaya,Sakamoto,2001-07-09
,,Jeremy,Sisto,1962-07-19
,,Tom,Berenger,1982-08-07
,,Michael,Paré,1960-03-10
,,Alan,Alda,1999-09-05
,,Nicole,Kidman,1960-11-01
,,Susan,Sarandon,1973-11-26
,,Barbra,Streisand,1965-10-02
,,Dev,Patel,1968-05-02
,,Caitlin,Gerard,1990-06-12
,,Asa,Butterfield,1998-07-08
,,Aaron,Paul,1968-07-08
,,Bo,Burnham,1974-12-14
,,Jimmy,Gonzales,1963-10-18
,,Thanapob,Leeratanakachorn,1964-09-03
,,Agustín,Aristarán,1950-07-30
,,Sawsan,Arsheed,1984-12-20
,,Andrea,Arcangeli,1951-08-24
,,Jim,Parsons,1953-09-24
,,Ehan,Bhat,1969-04-20
,,Dave,Bautista,1959-09-18
,,Hend,Sabry,1973-09-11
,,Arnold,Schwarzenegger,1984-07-02
,,John,Hawkes,1952-09-21
,,Amy,Tan,1951-07-17
,,Arjun,Kapoor,1977-02-12
,,Jacob,Latimore,1993-01-11
,,Arif,Zakaria,1960-02-19
,,Vikas,Vasistha,1985-07-23
,,Frank,Lammers,1995-08-29
,,Ewan,McGregor,1951-10-22
,,Erica,Wessels,1981-02-27
,,Ed,Kear,1957-03-14
,,Diaan,Lawrenson,1967-12-06
,,León,Orlandianyi,1968-02-14
,,Amy,Adams,1962-02-14
,,Daniel,Craig,1977-11-26
,,Shalini,Vatsa,1957-10-08
,,Alfonso,Herrera,1961-05-19
,,Mélanie,Laurent,1959-11-19
,,Daniel,Faraldo,1962-09-27
,,Teri,Polo,1999-11-11
,,Kunchacko,Boban,1995-05-19
,,Darren,Wang,1999-05-19
,,Demet,Akba?,1951-04-13
,,Suvinder,Vicky,1958-04-12
,,Kelvin,Harrison,1991-09-24
,,Sooraj,Pancholi,1952-10-01
,,Jennifer,Brea,1961-08-02
,,Mala,Emde,1990-04-24
,,Alec,Baldwin,1979-04-10
,,Dylan,McDermott,1957-01-29
,,Jayden,Greig,1955-08-15
,,Tyrese,Gibson,1971-01-15
,,Eric,Roberts,1995-04-06
,,Robert,Downey,1986-10-11
,,Jim,Carrey,1994-08-18
,,Matt,Damon,1959-06-25
,,Richard,Gere,1962-01-27
,,Sean,Faris,1999-04-26
,,Orlando,Bloom,1955-09-07
,,Patrick,Robinson,1984-06-17
,,Kurt,Russell,1965-04-10
,,Russell,Crowe,1982-07-25
,,Kendall,Ryan,1965-08-03
,,Emile,Hirsch,1952-04-21
,,Keanu,Reeves,1986-12-17
,,Rachelle,Lefevre,1984-01-18
,,Steven,Seagal,2003-04-20
,,Aditya,Modak,1964-07-08
,,Bailee,Madison,1965-07-28
,,Marcus,Majella,1985-03-25
,,Meryl,Streep,1950-10-04
,,Aaron,Eckhart,1957-08-07
,,Nicolas,Cage,1953-09-10
,,Supriya,Pathak,1956-12-02
,,Engin,Günayd?n,2003-01-21
,,Onur,Buldu,1952-12-02
,,Gupse,Özay,1978-12-31
,,Ahmet,Kural,2001-01-31
,,Cem,Y?lmaz,1995-04-13
,,Ali,Sunal,1998-07-04
,,Enrique,Bunbury,1975-05-16
,,Cengiz,Bozkurt,1978-10-06
,,Ezgi,Mola,1976-04-18
,,Suppapong,Udomkaewkanjana,1990-02-13
,,O?uzhan,Koç,1969-07-12
,,Ata,Demirer,2002-12-10
,,Riham,Abdel,1991-11-14
,,Bisola,Aiyeola,1980-03-07
,,Y?lmaz,Erdo?an,1959-09-10
,,Go,Ayano,1996-12-06
,,Anna,Kendrick,1958-07-22
,,Olu,Jacobs,1956-01-25
,,Jessica,Chastain,1975-09-23
,,Edward,James,1967-04-27
,,Imran,Khan,1980-12-12
,,Aamir,Khan,1992-03-19
,,Omkar,Das,1974-12-07
,,Fatima,Sana,1980-06-02
,,Michael,J,1975-08-08
,,America,Young,1984-05-09
,,Mia,Wasikowska,1955-04-09
,,Isaiah,Washington,1983-01-17
,,Alexa,Ilacad,1996-04-06
,,Alexandra,Pfeifer,1956-01-16
,,Chris,Hemsworth,1987-05-25
,,Anthony,Mackie,1989-04-30
,,Andrew,Wilson,1994-05-17
,,Anmol,Thakeria,1968-01-16
,,Daisuke,Ono,1989-12-07
,,Garth,Brooks,1990-10-25
,,Amber,Midthunder,1964-09-04
,,Kiko,Mizuhara,1998-10-06
,,Joaquin,Phoenix,2001-05-20
,,Nasir,Nas,1968-06-21
,,Daniel,Valdez,1965-12-14
,,Chang,Chen,1981-09-14
,,Nannaphas,Loetnamchoetsakun,1957-11-07
,,Panja,Vaisshnav,1976-02-11
,,Yang,Tianxiang,1977-01-26
,,Drew,Barrymore,1980-12-28
,,Um,Tae-goo,1957-04-26
,,Seun,Ajayi,1995-05-30
,,Rajkummar,Rao,1972-04-12
,,Joey,Bada$$,1989-09-01
,,Ardhito,Pramono,1977-02-17
,,Yogi,Babu,1988-06-05
,,Kang,Quintus,1976-01-22
,,Ema,Horvath,1962-06-19
,,Rob,Corddry,1987-04-11
,,Jade,Pettyjohn,1956-09-29
,,Idris,Elba,1975-09-06
,,Brian,Austin,1987-09-22
,,Zainab,Balogun,1989-01-10
,,Fahadh,Faasil,1953-10-03
,,Yolanthe,Cabau,1951-08-04
,,Karole,Rocher,1977-03-07
,,Timothy,Omundson,1974-09-16
,,John,Cusack,1979-03-31
,,Sharman,Joshi,2001-02-05
,,Patrick,Wilson,1987-01-12
,,James,Marsden,1981-07-05
,,Richa,Chadda,1973-10-14
,,Audrey,Hepburn,1952-04-06
,,Sam,Jaeger,1962-01-12
,,Shun,Oguri,1950-04-23
,,Chad,Michael,1998-09-13
,,Casper,Van,1975-10-05
,,Matt,Dillon,1976-07-13
,,Clara,Bernadeth,1971-01-26
,,Sedky,Sakhr,1959-04-10
,,Adrien,Brody,1962-04-03
,,Richard,Wershe,1959-12-28
,,Willem,Dafoe,1990-03-13
,,Brendon,Mcdonnell,1995-08-19
,,Chris,Norton,1982-10-08
,,Simon,Greenall,1986-10-23
,,Kevin,Quinn,1972-03-27
,,Clive,Owen,1972-03-16
,,Meryem,Uzerli,1958-05-11
,,Nathalie,Seseña,1986-08-23
,,Sanya,Malhotra,1955-05-17
,,Elvira,Camarrone,1971-09-07
,,Nicholas,Corda,1970-05-23
,,Loyiso,Gola,2002-11-22
,,Ho-dong,Kang,1993-07-11
,,Taiga,Nakano,1997-02-27
,,Lin,Po-Hung,1990-05-17
,,Alain,Moussi,1977-01-02
,,Chen,Kun,1995-08-23
,,Kristin,Davis,1962-09-14
,,Matheus,Nachtergaele,2001-01-10
,,Nate,Bargatze,2002-03-22
,,Lindsey,Morgan,1973-03-14
,,Gabriel,Iglesias,1969-09-18
,,Saleh,Bakri,1997-11-22
,,OC,Ukeje,1981-03-24
,,Matthew,Modine,1951-02-26
,,Khalid,Bounouar,1978-01-07
,,Taylor,Kitsch,1967-08-17
,,Mark,Rylance,1997-11-17
,,Erdem,Yener,1985-09-24
,,Sarah,Hassan,1963-05-24
,,Talat,Bulut,1999-03-13
,,Ça?atay,Ulusoy,1987-03-11
,,Sedef,Avc?,1957-11-23
,,Sinem,Kobal,1965-06-14
,,Jennifer,Garner,1953-01-29
,,Tolga,Çevik,1954-11-05
,,Alex,Brendemühl,1989-03-06
,,Ari,Irham,2001-05-07
,,Chris,Sheffield,1956-06-28
,,Abdramane,Diakité,1964-07-01
,,Cyli,Khare,1970-09-29
,,P.,Samuthirakani,1988-04-29
,,Christian,Tappan,1970-06-27
,,Toyin,Abraham,1961-01-20
,,Olga,Kurylenko,1995-06-23
,,Adhisty,Zara,1970-10-24
,,Jason,Statham,1994-07-11
,,Josh,Duhamel,1990-11-08
,,Hadley,Robinson,1999-03-17
,,Kevin,Costner,1966-12-22
,,Kiara,Advani,1981-10-03
,,The,Notorious,1991-04-14
,,Emma,Bading,1979-03-11
,,Robbie,Daymond,1999-04-17
,,Dustin,Hoffman,1988-02-25
,,Jules,Wojciechowski,1950-07-14
,,Viggo,Mortensen,1984-02-13
,,Álvaro,Cervantes,1965-11-13
,,Benjamín,Vicuña,1968-09-06
,,Owen,Wilson,2001-03-17
,,Paul,Rudd,1952-03-15
,,Parineeti,Chopra,1989-12-31
,,Alfredo,Castro,1960-09-24
,,Tom,Schilling,1950-07-28
,,Ryo,Yoshizawa,2002-11-06
,,Brian,Regan,1950-11-03
,,Ram,Pothineni,1995-01-17
,,Vera,Farmiga,1999-05-16
,,Shih,Ming-shuai,1988-07-21
,,Oscar,Isaac,1961-07-12
,,Shine,Tom,1998-02-05
,,Manchu,Lakshmi,1999-04-16
,,Shardul,Bhardwaj,1994-11-25
,,Jeni,Ross,2001-02-24
,,Bear,Grylls,1954-09-02
,,Brett,Dalton,1970-05-14
,,Lucy,Loken,1950-04-25
,,Ini,Dima-Okojie,1995-11-17
,,Henry,Golding,1973-08-10
,,Dani,Rovira,1973-10-04
,,Praveen,Tej,1997-07-07
,,Lana,Condor,1958-11-16
,,Verónica,Alva,1964-11-24
,,Silvia,Alonso,1974-07-07
,,Reza,Rahadian,1957-01-19
,,Emayatzy,Corinealdi,1989-12-30
,,Nanna,Blondell,1952-08-31
,,Adrianna,Chlebicka,1998-04-25
,,Abstract,Rude,1966-11-07
,,Hedi,Bouchenafa,1980-03-19
,,Caleb,Castille,1985-10-30
,,Jonah,Hill,1991-02-06
,,Shawn,Yue,1975-07-27
,,Blanche,Gardin,1973-09-19
,,Irrfan,Khan,1951-03-16
,,Chen,Shu-fang,1976-05-17
,,Song,Joong-ki,1952-02-27
,,Riccardo,Scamarcio,1967-03-15
,,Mark,Chao,1996-07-19
,,Julia,Wieniawa-Narkiewicz,1965-03-01
,,Raúl,Arévalo,1999-06-10
,,Alejandro,Peña,1995-09-22
,,Chris,Farley,1986-12-27
,,Bukky,Bakray,2003-02-21
,,Daniel,Padilla,1962-09-14
,,Jonah,Bobo,1965-03-04
,,Joaquim,de,1971-06-25
,,Amy,Forsyth,1964-03-15
,,Javier,Gutiérrez,1958-02-02
,,Kea,Peahu,1987-08-22
,,Carey,Mulligan,1984-02-26
,,Acha,Septriasa,1967-06-22
,,Kurt,Sorge,1994-09-02
,,Tovino,Thomas,1950-03-30
,,Rosa,María,1995-12-04
,,Adarsh,Gourav,1980-11-05
,,Malin,Akerman,1975-05-28
,,Cosmo,Jarvis,2003-10-18
,,Shameik,Moore,1960-12-21
,,Madelaine,Petsch,1962-12-03
,,Lewis,MacDougall,1958-03-03
,,Maggie,Q,1975-08-01
,,Maisa,Silva,1994-03-02
,,Tom,McGrath,1991-10-11
,,Jo,Kyoung-i,1959-08-21
