firstName,lastName,birthday,language,location
Enhle,Mbali,1967-07-18,English,Korea
Alain,Uy,1972-01-24,Spanish,Spain
Suliane,Brahim,1998-12-11,Chinese,China
Lin-Manuel,Miranda,1984-10-22,German,China
Shah,Rukh,2000-09-13,Chinese,Korea
Luis,Brandoni,1992-06-10,Korean,United States
Jackie,Collins,1970-08-13,French,United States
Fernán,Mirás,2002-10-23,English,Germany
Ramsey,Nouah,1984-01-24,Chinese,United States
Ashley,Greene,2001-03-16,English,Germany
David,Geffen,1990-08-17,Japanese,United States
Pruitt,Taylor,2000-10-08,English,France
Genevieve,Nnaji,1967-01-26,English,France
Roy,Chiu,1984-09-27,Korean,Germany
Charles,Grodin,1968-04-28,English,China
Ray,Winstone,2002-10-08,Spanish,Japan
Scott,Adkins,1992-05-26,French,China
Leonardo,DiCaprio,1954-03-24,English,Korea
Bill,Hader,1965-06-01,English,China
Thomas,Jane,1974-11-02,Korean,United States
Matthew,Broderick,1996-04-01,English,China
Haley,Lu,1974-10-15,English,Canada
Samuel,L.,1992-06-07,Japanese,Spain
Dane,Cook,1997-09-04,English,Japan
John,C.,2003-08-09,English,Canada
Damon,Wayans,1995-07-04,Spanish,Canada
Dan,Aykroyd,1961-05-10,Japanese,United States
Anna,Chlumsky,1983-01-29,English,Germany
William,Townsend,1953-01-22,Japanese,Korea
Seth,Rogen,1951-07-22,French,Canada
Justin,Long,1993-12-12,Chinese,Spain
Diane,Keaton,1974-02-05,German,Japan
Tobey,Maguire,1962-12-05,German,Korea
Trey,Parker,1993-01-28,Japanese,Korea
Hailee,Steinfeld,1989-10-22,Korean,Canada
Abigail,Spencer,1981-12-24,Chinese,United States
Matthew,McConaughey,1977-10-04,German,Germany
Jeffrey,Dean,1979-12-12,Spanish,Korea
Christian,Bale,1951-10-17,English,Japan
Sandra,Bullock,1977-10-23,English,Germany
Steve,Harvey,1973-01-29,English,China
Jessica,Alba,1950-11-26,Korean,Spain
Khaled,Abol,1983-03-13,Chinese,Korea
Damilola,Adegbite,1973-02-25,English,Canada
Józef,Paw?owski,1980-03-17,Japanese,United States
Grant,Gustin,1972-09-28,Spanish,Korea
Diane,Kruger,1972-05-02,Korean,Japan
Jamie,Foxx,1999-01-21,English,Canada
Emily,Morris,1971-07-30,English,China
Shailene,Woodley,1955-03-23,Korean,Korea
Vatsal,Dubey,1959-11-21,German,Spain
Rachel,House,1992-04-12,Spanish,United States
Blossom,Chukwujekwu,1973-11-07,English,China
Molly,Bernard,1962-11-09,French,United States
Faisal,Al,1971-01-16,Korean,Korea
Frank,Grillo,1955-09-18,English,Canada
Panisara,Rikulsurakan,1963-08-13,Spanish,Korea
Colin,Farrell,1954-05-28,Spanish,Canada
Naomi,Watts,2001-02-04,English,Canada
Kristen,Stewart,1968-01-17,German,United States
Nadya,Arina,1960-03-26,Korean,United States
Shia,LaBeouf,1960-03-27,French,Spain
Matilda,Lutz,1977-06-13,English,Japan
Hong,Chau,1955-03-23,English,Korea
Jesse,Eisenberg,1971-04-14,Japanese,United States
Paul,Giamatti,1977-07-22,French,China
Jassim,Al,1977-07-18,German,Korea
Reese,Witherspoon,1993-08-29,Spanish,Canada
Bella,Thorne,1995-06-17,English,France
Bill,Murray,1964-01-03,English,Germany
Paul,Walker,1994-05-24,Spanish,Japan
Andrzej,Seweryn,1961-07-21,Korean,United States
Saskia,Hampele,1971-01-19,English,Germany
Peter,Yu,1978-10-30,English,Korea
Sanjay,Mishra,1996-01-24,Korean,Korea
Guggu,Gill,1968-04-07,English,Spain
Majida,El,1967-01-08,Spanish,Korea
Remy,Ishak,1970-12-05,Chinese,Germany
Maudy,Koesnaedi,1970-05-03,Spanish,United States
Makrand,Deshpande,1966-08-01,Spanish,Spain
Mala,Sinha,1980-07-09,English,United States
Taapsee,Pannu,1953-07-04,Spanish,Germany
Stan,Nze,1972-11-25,Japanese,Germany
Chris,Evans,1994-04-22,Chinese,Spain
Lee,Sung-min,1970-01-12,Spanish,China
Helen,Mirren,1954-10-25,Korean,Canada
Jean-Claude,Van,1975-11-26,Spanish,France
Mike,Myers,1985-04-20,Korean,United States
Mark,Wahlberg,1971-11-08,Korean,France
Cameron,Diaz,1957-11-04,English,Canada
Dylan,Walsh,2003-05-20,English,Japan
Walter,Matthau,1963-06-12,Chinese,Canada
Tran,Nghia,1996-09-01,Chinese,Canada
Katherine,Heigl,1992-03-17,German,Canada
Rooney,Mara,2002-04-15,Japanese,Canada
Zhang,Ziyi,2001-08-02,English,Canada
Christophe,Lambert,1952-06-09,English,Canada
Jennifer,Aniston,1992-02-10,French,Spain
Natalie,Portman,1952-05-18,English,United States
Chyler,Leigh,1996-06-29,German,China
Daisy,Ridley,1955-08-19,English,United States
Judi,Dench,1982-06-20,Japanese,France
Will,Smith,1982-11-11,English,Germany
Jay,Baruchel,2002-03-30,Korean,Canada
Chris,Elliott,2002-07-22,Chinese,Germany
Chris,Pine,1962-02-25,English,United States
Michael,J.,1966-12-02,German,Spain
Marc,Maron,1970-02-23,English,Spain
Will,Ferrell,1959-08-20,English,United States
George,Clooney,1976-10-29,Spanish,Germany
Taraji,P.,1964-11-21,Korean,United States
Michael,Douglas,1964-08-13,French,Japan
Ralph,Macchio,1970-05-29,Japanese,Canada
Kevin,Spacey,1968-07-28,Spanish,Canada
David,Carradine,1984-06-11,Japanese,Japan
Liv,Tyler,1994-04-20,Korean,Canada
Ben,Affleck,1963-05-30,Chinese,United States
Angelina,Jolie,2003-07-08,English,Japan
Kate,Beckinsale,1993-01-19,English,Japan
Michael,Sheen,1984-06-27,Korean,United States
Uzee,Usman,1959-12-09,English,United States
Robin,Williams,1955-08-30,French,Japan
Halle,Berry,2000-11-29,English,Canada
Theo,James,1956-12-20,English,United States
Brad,Pitt,1987-11-14,Korean,France
Olivier,Rousteing,1999-04-26,English,Korea
Hassan,Mrad,1976-02-28,English,Spain
Liam,Neeson,1954-12-05,French,Spain
Guy,Pearce,1984-04-04,English,United States
César,Troncoso,1959-02-16,Korean,Spain
Nkem,Owoh,1959-01-23,English,Spain
Flavia,Hojda,1959-09-24,Spanish,Japan
Maia,Morgenstern,1967-07-13,English,Canada
Raluca,Aprodu,1978-01-25,French,France
K.J.,Apa,1966-04-16,German,United States
Debbie,Allen,1960-08-22,English,Spain
Kevin,Hart,1964-07-26,English,Germany
Nancy,Isime,1999-05-02,French,Spain
Caress,Bashar,1988-08-08,English,Japan
Charlie,Dizon,1975-02-13,Korean,Canada
Asivak,Koostachin,1962-11-15,Korean,Spain
Bradley,Cooper,1999-01-19,English,China
Max,Jabs,1982-11-15,Chinese,Germany
Demián,Bichir,1979-09-29,English,United States
Marco,DAmore,1956-09-14,English,Canada
Jane,Fonda,1960-11-19,English,Korea
Will,Yun,1953-03-30,Chinese,Germany
Troy,Garity,1951-03-28,English,Germany
Jeff,Foxworthy,1953-05-31,English,Japan
James,Hetfield,1995-03-04,German,Canada
Alicia,Sanz,1996-11-09,Chinese,Canada
Rachel,Saanchita,1982-07-20,Japanese,Canada
Shay,Mitchell,1968-08-10,Spanish,China
Jimmy,Wong,1982-05-07,English,Canada
Marlon,Wayans,1982-01-07,Chinese,Spain
Alaa,Hammoud,1965-09-17,English,Canada
Le,Khanh,1957-04-14,Chinese,United States
Gethin,Anthony,2002-02-25,Japanese,Japan
Ahmad,Khamis,1991-05-22,German,Korea
Gina,Rodriguez,1988-10-04,Spanish,China
Indira,Andrewin,2003-01-17,English,France
Zoey,Deutch,1989-06-01,English,Canada
Rosamund,Pike,1966-01-15,French,Canada
Chika,Ike,1963-12-27,Spanish,Japan
David,Attenborough,1959-06-18,English,Canada
Mae,Martin,1961-01-27,French,Canada
Jang,Ki-yong,1958-05-06,French,Canada
Jailoshini,Naidoo,1957-05-19,German,Spain
Teo,García,1981-08-07,Chinese,China
Alan,Saldaña,1980-12-30,German,Japan
Molly,Nutley,2002-06-26,German,Spain
Myriam,Fares,1969-05-15,Japanese,Spain
Janine,Gutierrez,1978-10-20,English,United States
Jacob,Elordi,1993-05-23,Chinese,Canada
Barbara,Niven,2000-09-27,French,Canada
Ashleigh,Sumner,1984-02-29,Japanese,Spain
John,Travolta,1957-01-26,English,Korea
Craig,Sheffer,1976-01-08,English,Spain
Giovana,Cordeiro,1990-09-09,Japanese,United States
Olympia,Dukakis,1972-08-30,Japanese,China
Tom,Sizemore,1953-09-11,Korean,Germany
Jet,Li,1998-09-27,German,Canada
Bill,Ferguson,1950-10-04,English,Germany
Stephen,Dorff,1961-09-14,Korean,Spain
Madeline,Carroll,2003-10-01,English,Japan
Matthew,Perry,1957-01-04,French,Japan
Gabriel,Afolayan,1952-05-10,Japanese,France
Kip,Pardue,1977-10-02,English,Canada
Sean,Penn,1983-04-17,Korean,Germany
Larenz,Tate,1981-09-16,English,United States
Fenessa,Pineda,1978-05-02,English,Canada
Michael,Jai,1958-08-06,English,Korea
Maaya,Sakamoto,2001-07-09,French,United States
Jeremy,Sisto,1962-07-19,Chinese,Germany
Tom,Berenger,1982-08-07,Korean,China
Michael,Paré,1960-03-10,English,Korea
Alan,Alda,1999-09-05,Japanese,Korea
Nicole,Kidman,1960-11-01,German,Spain
Susan,Sarandon,1973-11-26,English,Canada
Barbra,Streisand,1965-10-02,English,United States
Dev,Patel,1968-05-02,French,United States
Caitlin,Gerard,1990-06-12,English,Korea
Asa,Butterfield,1998-07-08,English,Spain
Aaron,Paul,1968-07-08,Japanese,Canada
Bo,Burnham,1974-12-14,English,Japan
Jimmy,Gonzales,1963-10-18,Chinese,Canada
Thanapob,Leeratanakachorn,1964-09-03,English,Germany
Agustín,Aristarán,1950-07-30,English,Spain
Sawsan,Arsheed,1984-12-20,French,Spain
Andrea,Arcangeli,1951-08-24,Korean,Japan
Jim,Parsons,1953-09-24,English,France
Ehan,Bhat,1969-04-20,French,Spain
Dave,Bautista,1959-09-18,Spanish,Korea
Hend,Sabry,1973-09-11,English,Germany
Arnold,Schwarzenegger,1984-07-02,English,United States
John,Hawkes,1952-09-21,Korean,Spain
Amy,Tan,1951-07-17,German,Germany
Arjun,Kapoor,1977-02-12,French,France
Jacob,Latimore,1993-01-11,German,United States
Arif,Zakaria,1960-02-19,English,Germany
Vikas,Vasistha,1985-07-23,English,United States
Frank,Lammers,1995-08-29,French,China
Ewan,McGregor,1951-10-22,German,France
Erica,Wessels,1981-02-27,Chinese,France
Ed,Kear,1957-03-14,English,United States
Diaan,Lawrenson,1967-12-06,German,Germany
León,Orlandianyi,1968-02-14,English,Spain
Amy,Adams,1962-02-14,French,China
Daniel,Craig,1977-11-26,German,Korea
Shalini,Vatsa,1957-10-08,Spanish,United States
Alfonso,Herrera,1961-05-19,Japanese,Spain
Mélanie,Laurent,1959-11-19,English,United States
Daniel,Faraldo,1962-09-27,English,United States
Teri,Polo,1999-11-11,Chinese,Spain
Kunchacko,Boban,1995-05-19,German,Japan
Darren,Wang,1999-05-19,English,Canada
Demet,Akba?,1951-04-13,English,Canada
Suvinder,Vicky,1958-04-12,Korean,France
Kelvin,Harrison,1991-09-24,French,Japan
Sooraj,Pancholi,1952-10-01,English,China
Jennifer,Brea,1961-08-02,Chinese,United States
Mala,Emde,1990-04-24,Japanese,Germany
Alec,Baldwin,1979-04-10,French,China
Dylan,McDermott,1957-01-29,English,Japan
Jayden,Greig,1955-08-15,Korean,China
Tyrese,Gibson,1971-01-15,English,United States
Eric,Roberts,1995-04-06,French,Spain
Robert,Downey,1986-10-11,English,France
Jim,Carrey,1994-08-18,Korean,China
Matt,Damon,1959-06-25,English,United States
Richard,Gere,1962-01-27,Chinese,Japan
Sean,Faris,1999-04-26,Korean,Korea
Orlando,Bloom,1955-09-07,Chinese,Canada
Patrick,Robinson,1984-06-17,Spanish,Germany
Kurt,Russell,1965-04-10,English,United States
Russell,Crowe,1982-07-25,Korean,United States
Kendall,Ryan,1965-08-03,Spanish,Japan
Emile,Hirsch,1952-04-21,Chinese,China
Keanu,Reeves,1986-12-17,Spanish,Germany
Rachelle,Lefevre,1984-01-18,English,Spain
Steven,Seagal,2003-04-20,English,France
Aditya,Modak,1964-07-08,German,Germany
Bailee,Madison,1965-07-28,Korean,Canada
Marcus,Majella,1985-03-25,Korean,Japan
Meryl,Streep,1950-10-04,French,Korea
Aaron,Eckhart,1957-08-07,Korean,Japan
Nicolas,Cage,1953-09-10,German,Spain
Supriya,Pathak,1956-12-02,Japanese,Japan
Engin,Günayd?n,2003-01-21,English,Germany
Onur,Buldu,1952-12-02,Chinese,Japan
Gupse,Özay,1978-12-31,Korean,Canada
Ahmet,Kural,2001-01-31,French,China
Cem,Y?lmaz,1995-04-13,English,China
Ali,Sunal,1998-07-04,French,Korea
Enrique,Bunbury,1975-05-16,English,Germany
Cengiz,Bozkurt,1978-10-06,English,Korea
Ezgi,Mola,1976-04-18,Chinese,Japan
Suppapong,Udomkaewkanjana,1990-02-13,Chinese,Spain
O?uzhan,Koç,1969-07-12,Spanish,Canada
Ata,Demirer,2002-12-10,English,China
Riham,Abdel,1991-11-14,English,Japan
Bisola,Aiyeola,1980-03-07,German,Korea
Y?lmaz,Erdo?an,1959-09-10,Korean,Japan
Go,Ayano,1996-12-06,Spanish,China
Anna,Kendrick,1958-07-22,Chinese,Canada
Olu,Jacobs,1956-01-25,Chinese,Germany
Jessica,Chastain,1975-09-23,Chinese,France
Edward,James,1967-04-27,Korean,Japan
Imran,Khan,1980-12-12,French,Canada
Aamir,Khan,1992-03-19,English,United States
Omkar,Das,1974-12-07,English,Canada
Fatima,Sana,1980-06-02,Spanish,Canada
Michael,J,1975-08-08,Korean,Canada
America,Young,1984-05-09,German,Japan
Mia,Wasikowska,1955-04-09,German,Korea
Isaiah,Washington,1983-01-17,Korean,Korea
Alexa,Ilacad,1996-04-06,English,Japan
Alexandra,Pfeifer,1956-01-16,Korean,Spain
Chris,Hemsworth,1987-05-25,German,France
Anthony,Mackie,1989-04-30,Korean,Germany
Andrew,Wilson,1994-05-17,Japanese,Korea
Anmol,Thakeria,1968-01-16,Chinese,Japan
Daisuke,Ono,1989-12-07,English,Canada
Garth,Brooks,1990-10-25,Spanish,United States
Amber,Midthunder,1964-09-04,German,Spain
Kiko,Mizuhara,1998-10-06,Korean,Canada
Joaquin,Phoenix,2001-05-20,Korean,Spain
Nasir,Nas,1968-06-21,Korean,United States
Daniel,Valdez,1965-12-14,English,Canada
Chang,Chen,1981-09-14,German,France
Nannaphas,Loetnamchoetsakun,1957-11-07,Korean,United States
Panja,Vaisshnav,1976-02-11,Spanish,Korea
Yang,Tianxiang,1977-01-26,Chinese,China
Drew,Barrymore,1980-12-28,Chinese,Korea
Um,Tae-goo,1957-04-26,Korean,China
Seun,Ajayi,1995-05-30,Chinese,Germany
Rajkummar,Rao,1972-04-12,French,France
Joey,Bada$$,1989-09-01,Japanese,Spain
Ardhito,Pramono,1977-02-17,Japanese,Canada
Yogi,Babu,1988-06-05,French,Germany
Kang,Quintus,1976-01-22,French,Germany
Ema,Horvath,1962-06-19,German,Spain
Rob,Corddry,1987-04-11,English,United States
Jade,Pettyjohn,1956-09-29,French,United States
Idris,Elba,1975-09-06,English,Canada
Brian,Austin,1987-09-22,English,China
Zainab,Balogun,1989-01-10,French,France
Fahadh,Faasil,1953-10-03,Chinese,Japan
Yolanthe,Cabau,1951-08-04,English,Spain
Karole,Rocher,1977-03-07,English,Spain
Timothy,Omundson,1974-09-16,Chinese,France
John,Cusack,1979-03-31,English,United States
Sharman,Joshi,2001-02-05,English,Canada
Patrick,Wilson,1987-01-12,Japanese,Germany
James,Marsden,1981-07-05,German,Canada
Richa,Chadda,1973-10-14,Spanish,France
Audrey,Hepburn,1952-04-06,Spanish,Korea
Sam,Jaeger,1962-01-12,Spanish,Korea
Shun,Oguri,1950-04-23,Korean,Canada
Chad,Michael,1998-09-13,Spanish,France
Casper,Van,1975-10-05,Spanish,Korea
Matt,Dillon,1976-07-13,English,Spain
Clara,Bernadeth,1971-01-26,Chinese,Germany
Sedky,Sakhr,1959-04-10,Japanese,Korea
Adrien,Brody,1962-04-03,Chinese,Germany
Richard,Wershe,1959-12-28,English,Korea
Willem,Dafoe,1990-03-13,German,United States
Brendon,Mcdonnell,1995-08-19,English,France
Chris,Norton,1982-10-08,French,United States
Simon,Greenall,1986-10-23,Japanese,France
Kevin,Quinn,1972-03-27,English,Canada
Clive,Owen,1972-03-16,English,Spain
Meryem,Uzerli,1958-05-11,German,Canada
Nathalie,Seseña,1986-08-23,Spanish,Korea
Sanya,Malhotra,1955-05-17,Spanish,China
Elvira,Camarrone,1971-09-07,English,United States
Nicholas,Corda,1970-05-23,English,Canada
Loyiso,Gola,2002-11-22,English,Spain
Ho-dong,Kang,1993-07-11,English,Korea
Taiga,Nakano,1997-02-27,Chinese,Korea
Lin,Po-Hung,1990-05-17,Japanese,Japan
Alain,Moussi,1977-01-02,Korean,China
Chen,Kun,1995-08-23,Japanese,China
Kristin,Davis,1962-09-14,English,Germany
Matheus,Nachtergaele,2001-01-10,English,China
Nate,Bargatze,2002-03-22,English,Canada
Lindsey,Morgan,1973-03-14,Chinese,China
Gabriel,Iglesias,1969-09-18,French,China
Saleh,Bakri,1997-11-22,Japanese,Germany
OC,Ukeje,1981-03-24,English,China
Matthew,Modine,1951-02-26,Korean,United States
Khalid,Bounouar,1978-01-07,German,Korea
Taylor,Kitsch,1967-08-17,Spanish,Canada
Mark,Rylance,1997-11-17,English,Spain
Erdem,Yener,1985-09-24,Korean,United States
Sarah,Hassan,1963-05-24,Japanese,France
Talat,Bulut,1999-03-13,Korean,Canada
Ça?atay,Ulusoy,1987-03-11,Spanish,Canada
Sedef,Avc?,1957-11-23,French,Canada
Sinem,Kobal,1965-06-14,Japanese,Japan
Jennifer,Garner,1953-01-29,Japanese,United States
Tolga,Çevik,1954-11-05,Chinese,Germany
Alex,Brendemühl,1989-03-06,Chinese,United States
Ari,Irham,2001-05-07,English,France
Chris,Sheffield,1956-06-28,Spanish,France
Abdramane,Diakité,1964-07-01,French,Germany
Cyli,Khare,1970-09-29,English,United States
P.,Samuthirakani,1988-04-29,Spanish,Japan
Christian,Tappan,1970-06-27,French,Canada
Toyin,Abraham,1961-01-20,English,United States
Olga,Kurylenko,1995-06-23,English,United States
Adhisty,Zara,1970-10-24,Chinese,Spain
Jason,Statham,1994-07-11,English,United States
Josh,Duhamel,1990-11-08,English,Canada
Hadley,Robinson,1999-03-17,English,United States
Kevin,Costner,1966-12-22,English,Japan
Kiara,Advani,1981-10-03,English,Canada
The,Notorious,1991-04-14,English,Japan
Emma,Bading,1979-03-11,French,Spain
Robbie,Daymond,1999-04-17,Korean,Japan
Dustin,Hoffman,1988-02-25,German,China
Jules,Wojciechowski,1950-07-14,French,United States
Viggo,Mortensen,1984-02-13,Chinese,United States
Álvaro,Cervantes,1965-11-13,English,Canada
Benjamín,Vicuña,1968-09-06,Korean,Germany
Owen,Wilson,2001-03-17,French,Korea
Paul,Rudd,1952-03-15,Korean,United States
Parineeti,Chopra,1989-12-31,English,Korea
Alfredo,Castro,1960-09-24,German,China
Tom,Schilling,1950-07-28,English,Spain
Ryo,Yoshizawa,2002-11-06,Chinese,United States
Brian,Regan,1950-11-03,German,United States
Ram,Pothineni,1995-01-17,Spanish,United States
Vera,Farmiga,1999-05-16,French,Germany
Shih,Ming-shuai,1988-07-21,Japanese,Canada
Oscar,Isaac,1961-07-12,English,United States
Shine,Tom,1998-02-05,Korean,Spain
Manchu,Lakshmi,1999-04-16,French,France
Shardul,Bhardwaj,1994-11-25,German,Canada
Jeni,Ross,2001-02-24,English,Japan
Bear,Grylls,1954-09-02,English,United States
Brett,Dalton,1970-05-14,Spanish,Korea
Lucy,Loken,1950-04-25,French,United States
Ini,Dima-Okojie,1995-11-17,English,Canada
Henry,Golding,1973-08-10,English,Canada
Dani,Rovira,1973-10-04,English,Canada
Praveen,Tej,1997-07-07,English,United States
Lana,Condor,1958-11-16,English,Germany
Verónica,Alva,1964-11-24,Chinese,Japan
Silvia,Alonso,1974-07-07,Spanish,Germany
Reza,Rahadian,1957-01-19,Chinese,United States
Emayatzy,Corinealdi,1989-12-30,Chinese,France
Nanna,Blondell,1952-08-31,Japanese,Canada
Adrianna,Chlebicka,1998-04-25,Korean,United States
Abstract,Rude,1966-11-07,Korean,United States
Hedi,Bouchenafa,1980-03-19,Korean,China
Caleb,Castille,1985-10-30,Japanese,Germany
Jonah,Hill,1991-02-06,Chinese,Germany
Shawn,Yue,1975-07-27,English,Korea
Blanche,Gardin,1973-09-19,Chinese,Canada
Irrfan,Khan,1951-03-16,Korean,France
Chen,Shu-fang,1976-05-17,Korean,Canada
Song,Joong-ki,1952-02-27,Spanish,Canada
Riccardo,Scamarcio,1967-03-15,Japanese,Germany
Mark,Chao,1996-07-19,Japanese,Canada
Julia,Wieniawa-Narkiewicz,1965-03-01,Korean,Korea
Raúl,Arévalo,1999-06-10,Chinese,United States
Alejandro,Peña,1995-09-22,German,Spain
Chris,Farley,1986-12-27,Japanese,Canada
Bukky,Bakray,2003-02-21,Korean,China
Daniel,Padilla,1962-09-14,English,France
Jonah,Bobo,1965-03-04,Korean,Korea
Joaquim,de,1971-06-25,Japanese,Korea
Amy,Forsyth,1964-03-15,Spanish,Spain
Javier,Gutiérrez,1958-02-02,English,Spain
Kea,Peahu,1987-08-22,Spanish,Spain
Carey,Mulligan,1984-02-26,Chinese,Germany
Acha,Septriasa,1967-06-22,French,Canada
Kurt,Sorge,1994-09-02,English,Spain
Tovino,Thomas,1950-03-30,Japanese,Japan
Rosa,María,1995-12-04,German,China
Adarsh,Gourav,1980-11-05,Japanese,Japan
Malin,Akerman,1975-05-28,English,Japan
Cosmo,Jarvis,2003-10-18,French,Canada
Shameik,Moore,1960-12-21,Chinese,France
Madelaine,Petsch,1962-12-03,English,United States
Lewis,MacDougall,1958-03-03,English,China
Maggie,Q,1975-08-01,Japanese,Germany
Maisa,Silva,1994-03-02,English,United States
Tom,McGrath,1991-10-11,English,United States
Jo,Kyoung-i,1959-08-21,French,Germany
Nancy,"""Vincenza",1970-09-01,English,United States
Kang,In-soo,1985-04-25,Korean,Korea
Bhisma,Mulia,1969-02-11,German,Canada
Sienna,Miller,1996-08-11,Korean,Germany
Rodrigo,de,2000-04-25,English,Korea
Derek,Jacobi,1992-05-28,English,Korea
François,Cluzet,1997-02-11,Japanese,Japan
Abhishek,Bachchan,1983-02-28,Spanish,China
Wilmer,Valderrama,1967-07-10,Spanish,Japan
Tillotama,Shome,1961-11-20,Korean,France
Michelle,Jenner,1965-03-16,French,Korea
Anisa,Rahma,1954-09-20,German,Canada
Bronwen,Mantel,1951-05-08,Korean,United States
Vanessa,Kirby,1971-09-30,Japanese,Canada
Tony,Parker,1995-07-27,English,France
Salman,Khan,1979-06-08,French,United States
Gerard,Butler,2003-02-08,English,Korea
