awardName,dateReceived,fName,lName,birthday
Best Director - National Film Awards,2001-07-07,Richard,Linklater,1968-02-05
Best Director - National Film Awards,2021-11-11,Amy,Rice,1974-02-11
Best Director - David di Donatello,2019-10-04,Randal,Kleiser,1953-07-09
Best Director - Motion Picture,2021-08-18,Michael,Ritchie,1961-05-21
Best Director - Motion Picture,2002-08-07,J.,Lee,1973-07-15
Best Director - National Film Awards,2004-01-13,Evan,Goldberg,1957-01-20
Best Director - David di Donatello,2000-03-11,Tom,Shadyac,1974-08-25
Best Director - David di Donatello,2019-06-15,Malcolm,D,1969-06-23
Best Director - David di Donatello,2003-02-06,Ramzy,Bedia,1973-01-18
Best Director - David di Donatello,2017-05-08,Sharan,Koppisetty,1954-01-26
Best Director - Academy Awards,2000-08-27,Taylor,Sheridan,1951-01-16
Young Director Award,2010-05-05,Sachin,Yardi,1969-08-19
Best Director - Motion Picture,2003-04-16,Saurabh,Kabra,1972-07-23
Best Director - David di Donatello,2011-10-18,Partho,Mitra
